                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                 1.0457,                0.75819,                 1.1754,                0.81126,                0.83962,                0.88276,                0.52868,                 1.3154,                0.87926,                 1.4845,              0.0012946,              0.0012946,              0.0012946
                     97,                 1.0462,                0.77705,                  1.169,                0.79777,                0.85416,                0.86272,                0.51612,                 1.4188,                0.87548,                 1.5606,              0.0012932,              0.0012932,              0.0012932
                     98,                 1.0649,                0.77046,                 1.2014,                0.75796,                0.80826,                0.83757,                0.50485,                 1.3237,                0.91546,                 1.5064,              0.0012918,              0.0012918,              0.0012918
                     99,                 1.0532,                0.75897,                 1.1619,                 0.7373,                0.90246,                0.85933,                0.51707,                 1.3829,                0.90909,                 1.5212,              0.0012904,              0.0012904,              0.0012904
                    100,                 1.0293,                0.75066,                 1.1735,                0.76494,                0.88237,                0.88403,                0.51302,                 1.4047,                0.89064,                 1.4842,              0.0012889,              0.0012889,              0.0012889
                    101,                 1.0523,                0.76941,                 1.1764,                0.75218,                0.87204,                0.87695,                 0.5503,                   1.33,                0.87416,                  1.445,              0.0012875,              0.0012875,              0.0012875
                    102,                 1.0523,                0.76765,                 1.1801,                0.82621,                0.83264,                0.88291,                 0.5202,                 1.3803,                0.89402,                 1.4991,              0.0012861,              0.0012861,              0.0012861
                    103,                 1.0329,                0.76398,                 1.1648,                0.71961,                 0.8897,                 0.8596,                0.51773,                 1.3695,                0.90076,                 1.4929,              0.0012847,              0.0012847,              0.0012847
                    104,                 1.0438,                0.77131,                 1.1716,                0.82576,                0.76842,                0.84296,                0.50104,                 1.3626,                 0.9376,                   1.49,              0.0012833,              0.0012833,              0.0012833
                    105,                 1.0158,                0.78065,                 1.1606,                0.72031,                0.86607,                0.84215,                0.49714,                 1.3686,                0.90804,                 1.4841,              0.0012819,              0.0012819,              0.0012819
                    106,                0.99364,                  0.745,                 1.1555,                0.75771,                 0.8265,                0.84831,                 0.4972,                 1.4026,                0.94698,                 1.5077,              0.0012805,              0.0012805,              0.0012805
                    107,                 1.0282,                0.74354,                  1.162,                0.82379,                0.84263,                0.88904,                0.54412,                 1.2754,                0.92646,                 1.4569,               0.001279,               0.001279,               0.001279
                    108,                0.99741,                0.76758,                 1.1669,                0.76656,                0.85045,                0.86578,                0.50233,                 1.3404,                0.93524,                 1.4986,              0.0012776,              0.0012776,              0.0012776
                    109,                 1.0187,                0.73483,                 1.1652,                0.74519,                0.87388,                0.86504,                0.50238,                 1.3238,                0.86812,                 1.4682,              0.0012762,              0.0012762,              0.0012762
                    110,                 1.0052,                0.73415,                 1.1661,                0.81961,                0.82254,                0.88847,                 0.5411,                 1.3644,                0.86134,                 1.4883,              0.0012748,              0.0012748,              0.0012748
                    111,                 1.0392,                0.72977,                 1.1676,                0.77222,                 0.8364,                0.87819,                0.51523,                 1.4517,                0.86372,                 1.5478,              0.0012734,              0.0012734,              0.0012734
                    112,                 1.0195,                0.75514,                 1.1634,                0.78164,                0.84464,                0.86058,                 0.4917,                 1.4081,                0.95528,                 1.5195,               0.001272,               0.001272,               0.001272
                    113,                  1.014,                0.74115,                 1.1574,                0.79132,                 0.8817,                0.87028,                0.51086,                 1.4109,                 0.9349,                 1.5387,              0.0012706,              0.0012706,              0.0012706
                    114,                0.99603,                0.73814,                 1.1497,                 0.7993,                0.86027,                  0.875,                0.52317,                 1.3817,                0.87503,                 1.4798,              0.0012691,              0.0012691,              0.0012691
                    115,                0.97984,                0.70805,                 1.1447,                0.78132,                0.86225,                0.87323,                0.53179,                 1.3504,                 0.8612,                 1.4633,              0.0012677,              0.0012677,              0.0012677
                    116,                  1.008,                0.73977,                 1.1539,                0.79113,                 0.8942,                0.88936,                0.54147,                 1.3597,                0.86388,                 1.4755,              0.0012663,              0.0012663,              0.0012663
                    117,                 1.0032,                 0.7461,                  1.165,                0.82925,                0.84263,                0.88926,                0.53382,                 1.3486,                0.85429,                 1.4628,              0.0012649,              0.0012649,              0.0012649
                    118,                 1.0011,                0.74139,                 1.1615,                0.81381,                 0.7875,                0.86242,                  0.525,                  1.415,                0.94716,                 1.5019,              0.0012635,              0.0012635,              0.0012635
                    119,                 1.0367,                 0.7438,                 1.1689,                0.80297,                0.79777,                0.87548,                0.52916,                   1.38,                0.86778,                 1.4811,              0.0012621,              0.0012621,              0.0012621
                    120,                 1.0024,                0.73534,                 1.1688,                0.79883,                0.82977,                0.87969,                 0.5288,                 1.4022,                0.86426,                 1.5096,              0.0012606,              0.0012606,              0.0012606
                    121,                 1.0069,                0.72668,                 1.1612,                0.78706,                 0.9139,                0.87812,                0.52803,                 1.2707,                0.88516,                 1.4575,              0.0012592,              0.0012592,              0.0012592
                    122,                0.98749,                 0.7112,                 1.1535,                0.77969,                0.87793,                0.87697,                0.53717,                 1.3225,                0.85984,                 1.4922,              0.0012578,              0.0012578,              0.0012578
                    123,                0.97953,                0.70136,                 1.1301,                0.83524,                 0.8086,                0.88539,                0.54819,                 1.3649,                0.85081,                 1.5494,              0.0012564,              0.0012564,              0.0012564
                    124,                0.95927,                0.68456,                 1.1315,                0.75531,                 0.8375,                0.86804,                0.52064,                 1.3626,                0.91352,                 1.5206,               0.001255,               0.001255,               0.001255
                    125,                0.98265,                0.73331,                 1.1399,                0.81263,                0.78683,                0.87793,                0.52024,                 1.3857,                0.90605,                 1.4888,              0.0012536,              0.0012536,              0.0012536
                    126,                0.98794,                0.73037,                 1.1541,                0.75022,                  0.816,                0.86379,                0.51418,                 1.3706,                0.91267,                   1.46,              0.0012522,              0.0012522,              0.0012522
                    127,                0.97557,                0.70266,                 1.1352,                0.73581,                0.78419,                0.83692,                 0.4991,                 1.4472,                0.97521,                 1.5754,              0.0012507,              0.0012507,              0.0012507
                    128,                0.96374,                 0.7066,                 1.1394,                0.79325,                0.80484,                0.87212,                0.53588,                 1.3629,                0.89529,                 1.4752,              0.0012493,              0.0012493,              0.0012493
                    129,                0.96644,                0.72072,                 1.1323,                0.79379,                0.82638,                0.85327,                0.51101,                 1.4288,                0.94241,                 1.5112,              0.0012479,              0.0012479,              0.0012479
                    130,                0.97576,                0.69368,                 1.1328,                0.80032,                0.83114,                0.87633,                0.53219,                 1.3922,                0.85115,                 1.5037,              0.0012465,              0.0012465,              0.0012465
                    131,                0.96555,                0.70294,                 1.1307,                0.80068,                0.84066,                0.86748,                0.52675,                 1.3405,                0.85059,                 1.4452,              0.0012451,              0.0012451,              0.0012451
                    132,                0.96795,                 0.6952,                 1.1403,                0.71264,                0.91051,                0.84772,                0.51782,                 1.3268,                0.92263,                 1.4696,              0.0012437,              0.0012437,              0.0012437
                    133,                0.95929,                0.70182,                 1.1432,                0.72541,                0.87969,                0.86374,                0.53038,                 1.3827,                0.88713,                 1.5064,              0.0012423,              0.0012423,              0.0012423
                    134,                0.96041,                0.68898,                 1.1223,                0.81659,                0.85554,                0.88718,                 0.5238,                 1.3555,                0.84877,                 1.4848,              0.0012408,              0.0012408,              0.0012408
                    135,                0.94276,                0.68125,                 1.1291,                 0.7627,                0.86027,                0.87203,                 0.5329,                 1.3189,                0.84368,                  1.472,              0.0012394,              0.0012394,              0.0012394
                    136,                0.98708,                0.72811,                 1.1345,                0.82535,                0.82768,                 0.8828,                 0.5296,                 1.3581,                0.85696,                 1.4801,               0.001238,               0.001238,               0.001238
                    137,                0.93923,                0.69066,                 1.1159,                0.79401,                0.84196,                0.88047,                0.52636,                 1.3249,                0.84313,                 1.4588,              0.0012366,              0.0012366,              0.0012366
                    138,                0.98091,                0.70868,                 1.1454,                0.82174,                0.85759,                0.89044,                0.53274,                 1.3597,                0.83482,                 1.4744,              0.0012352,              0.0012352,              0.0012352
                    139,                0.97789,                 0.7276,                 1.1486,                0.77395,                0.80425,                0.86202,                0.52849,                 1.3543,                0.90881,                 1.4685,              0.0012338,              0.0012338,              0.0012338
                    140,                0.91429,                0.68952,                 1.1212,                0.79877,                0.84196,                0.87336,                0.52075,                 1.4029,                0.82258,                 1.5254,              0.0012324,              0.0012324,              0.0012324
                    141,                0.95815,                0.69149,                 1.1395,                0.76521,                0.85759,                0.86362,                0.51066,                 1.3896,                 0.9039,                 1.4918,              0.0012309,              0.0012309,              0.0012309
                    142,                0.94195,                0.69183,                 1.1344,                0.69698,                0.87624,                0.84932,                0.49986,                 1.4499,                 0.9751,                 1.5285,              0.0012295,              0.0012295,              0.0012295
                    143,                0.94695,                0.72418,                  1.134,                0.82831,                 0.8164,                0.87627,                0.52694,                 1.4025,                0.86262,                  1.521,              0.0012281,              0.0012281,              0.0012281
                    144,                0.94421,                0.68281,                 1.1257,                0.79943,                0.84643,                0.85909,                0.51443,                 1.3719,                0.93145,                 1.4787,              0.0012267,              0.0012267,              0.0012267
                    145,                0.96131,                0.69766,                  1.138,                0.77071,                0.85737,                0.87216,                0.50587,                 1.3497,                0.91558,                 1.4743,              0.0012253,              0.0012253,              0.0012253
                    146,                0.92235,                0.66577,                  1.126,                0.80591,                0.82608,                0.88729,                0.53752,                 1.3375,                0.86497,                  1.456,              0.0012239,              0.0012239,              0.0012239
                    147,                0.97269,                0.68513,                 1.1448,                0.76554,                0.88817,                0.87783,                0.51876,                 1.3116,                0.85392,                 1.4687,              0.0012225,              0.0012225,              0.0012225
                    148,                 0.9618,                0.69542,                  1.132,                0.77412,                  0.725,                0.82465,                 0.4718,                 1.3577,                0.94203,                 1.5102,               0.001221,               0.001221,               0.001221
                    149,                0.94441,                0.66448,                 1.1182,                0.74417,                0.84296,                0.87963,                0.51084,                 1.3445,                0.90638,                 1.4678,              0.0012196,              0.0012196,              0.0012196
                    150,                0.94638,                0.69775,                 1.1345,                0.74476,                0.91527,                0.86504,                0.52359,                 1.3189,                0.83735,                 1.4206,              0.0012182,              0.0012182,              0.0012182
                    151,                0.96925,                0.67633,                 1.1324,                0.76802,                0.84037,                0.86223,                0.49938,                 1.3556,                0.92701,                 1.4796,              0.0012168,              0.0012168,              0.0012168
